Activity ID,Activity Name,Original Duration,Remaining Duration,Baseline Start,Baseline Finish,Start,Finish,Total Float,task_code,status_code,wbs_id,task_name,pred_list,pred_details,succ_list,succ_details,start_date,end_date,delete_record_flag_x,predtask__projwbs__wbs_full_name,task__projwbs__wbs_full_name,predtask__task_name,task__task_name,pred_task_id,task_id,pred_type,PREDTASK__status_code,TASK__status_code,lag_hr_cnt,delete_record_flag_y,Delay_Duration,Delay_Status,Predecessor_Count,Successor_Count
HE-WS-0070,Lesson Learned Workshop,0,0,2023-08-31,2023-08-31,31-Aug-23 A,31-Aug-23 A,,HE-WS-0070,Completed,P2543-R01-Oct24..1.PM.12,Lesson Learned Workshop,ML1002,ML1002: SS 45,HE-WS-0010,HE-WS-0010: FS 15,2023-08-31 00:00:00,2023-08-31 00:00:00,,P2543-R01-Oct24..ML Milestones,P2543-R01-Oct24..1.PM.12 Workshops,Project Kick off Meeting,Lesson Learned Workshop,ML1002,HE-WS-0070,SS,Completed,Completed,45,,0,2,1,1
HE-WS-0010,Project Risk Review Workshop,0,0,2023-09-28,2023-09-28,28-Sep-23 A,28-Sep-23 A,,HE-WS-0010,Completed,P2543-R01-Oct24..1.PM.12,Project Risk Review Workshop,"HE-SS-0020, HE-WS-0070","HE-SS-0020: FS 15, HE-WS-0070: FS 15","HE-WS-0050, HE-RR-0010, C-COM-790, CAB-5290","HE-WS-0050: FS, HE-RR-0010: FS, C-COM-790: FS, CAB-5290: FS",2023-09-28 00:00:00,2023-09-28 00:00:00,,P2543-R01-Oct24..1.EN.2 Survey & Studies,P2543-R01-Oct24..1.PM.12 Workshops,Site Visit,Project Risk Review Workshop,HE-SS-0020,HE-WS-0010,FS,Completed,Completed,15,,0,2,2,4
HE-WS-0010,Project Risk Review Workshop,0,0,2023-09-28,2023-09-28,28-Sep-23 A,28-Sep-23 A,,HE-WS-0010,Completed,P2543-R01-Oct24..1.PM.12,Project Risk Review Workshop,"HE-SS-0020, HE-WS-0070","HE-SS-0020: FS 15, HE-WS-0070: FS 15","HE-WS-0050, HE-RR-0010, C-COM-790, CAB-5290","HE-WS-0050: FS, HE-RR-0010: FS, C-COM-790: FS, CAB-5290: FS",2023-09-28 00:00:00,2023-09-28 00:00:00,,P2543-R01-Oct24..1.PM.12 Workshops,P2543-R01-Oct24..1.PM.12 Workshops,Lesson Learned Workshop,Project Risk Review Workshop,HE-WS-0070,HE-WS-0010,FS,Completed,Completed,15,,0,2,2,4
HE-WS-0030,Design Review Workshop,1,0,2023-10-09,2023-10-10,09-Oct-23 A,10-Oct-23 A,,HE-WS-0030,Completed,P2543-R01-Oct24..1.PM.12,Design Review Workshop,"HC-GN-0110, ML1002-A02, HE-PI-0320, HE-PI-0390, HE-PI-0460, HE-PR-0110, ML1005-B01, HE-PI-0530, HC-GN-0050, HE-WS-0090, ML1002","HC-GN-0110: FS, ML1002-A02: FS, HE-PI-0320: FS, HE-PI-0390: FS, HE-PI-0460: FS, HE-PR-0110: FS, ML1005-B01: FS, HE-PI-0530: FS, HC-GN-0050: FS, HE-WS-0090: FS, ML1002: SS","ML1219-B19, HE-PR-1130, HE-PI-0170, HE-PR-0870, HE-PR-0450, HE-PR-0570, HE-PR-1280, HE-PR-1330, HE-PR-1380, HE-PR-1430, HE-PR-1480, HE-PR-1530, HE-PR-1580, ML1012-B06, HE-PR-0250, HE-WS-0210, HE-HS-0970, HE-PI-0150, HE-HS-0670, HE-WS-0050, HE-HS-0490, HE-P","ML1219-B19: FF, HE-PR-1130: FS, HE-PI-0170: FS, HE-PR-0870: FS, HE-PR-0450: FS, HE-PR-0570: FS, HE-PR-1280: FS, HE-PR-1330: FS, HE-PR-1380: FS, HE-PR-1430: FS, HE-PR-1480: FS, HE-PR-1530: FS, HE-PR-1580: FS, ML1012-B06: FS, HE-PR-0250: FS, HE-WS-0210: FS,",2023-10-09 00:00:00,2023-10-10 00:00:00,,"P2543-R01-Oct24..1.PM.3 Project Procedure (PEP, Numbering Procedure)",P2543-R01-Oct24..1.PM.12 Workshops,"Final Issue for Design/ Construction-Project Procedure (PEP, Numbering Procedure)",Design Review Workshop,HC-GN-0110,HE-WS-0030,FS,Completed,Completed,0,,0,2,11,22
HE-WS-0030,Design Review Workshop,1,0,2023-10-09,2023-10-10,09-Oct-23 A,10-Oct-23 A,,HE-WS-0030,Completed,P2543-R01-Oct24..1.PM.12,Design Review Workshop,"HC-GN-0110, ML1002-A02, HE-PI-0320, HE-PI-0390, HE-PI-0460, HE-PR-0110, ML1005-B01, HE-PI-0530, HC-GN-0050, HE-WS-0090, ML1002","HC-GN-0110: FS, ML1002-A02: FS, HE-PI-0320: FS, HE-PI-0390: FS, HE-PI-0460: FS, HE-PR-0110: FS, ML1005-B01: FS, HE-PI-0530: FS, HC-GN-0050: FS, HE-WS-0090: FS, ML1002: SS","ML1219-B19, HE-PR-1130, HE-PI-0170, HE-PR-0870, HE-PR-0450, HE-PR-0570, HE-PR-1280, HE-PR-1330, HE-PR-1380, HE-PR-1430, HE-PR-1480, HE-PR-1530, HE-PR-1580, ML1012-B06, HE-PR-0250, HE-WS-0210, HE-HS-0970, HE-PI-0150, HE-HS-0670, HE-WS-0050, HE-HS-0490, HE-P","ML1219-B19: FF, HE-PR-1130: FS, HE-PI-0170: FS, HE-PR-0870: FS, HE-PR-0450: FS, HE-PR-0570: FS, HE-PR-1280: FS, HE-PR-1330: FS, HE-PR-1380: FS, HE-PR-1430: FS, HE-PR-1480: FS, HE-PR-1530: FS, HE-PR-1580: FS, ML1012-B06: FS, HE-PR-0250: FS, HE-WS-0210: FS,",2023-10-09 00:00:00,2023-10-10 00:00:00,,P2543-R01-Oct24..ML.GE General,P2543-R01-Oct24..1.PM.12 Workshops,"Issue Project Control, PMS and Planning Dossier covering Baseline Schedule, Histograms, S-Curves, etc. - Final Issue",Design Review Workshop,ML1002-A02,HE-WS-0030,FS,Completed,Completed,0,,0,2,11,22
HE-WS-0030,Design Review Workshop,1,0,2023-10-09,2023-10-10,09-Oct-23 A,10-Oct-23 A,,HE-WS-0030,Completed,P2543-R01-Oct24..1.PM.12,Design Review Workshop,"HC-GN-0110, ML1002-A02, HE-PI-0320, HE-PI-0390, HE-PI-0460, HE-PR-0110, ML1005-B01, HE-PI-0530, HC-GN-0050, HE-WS-0090, ML1002","HC-GN-0110: FS, ML1002-A02: FS, HE-PI-0320: FS, HE-PI-0390: FS, HE-PI-0460: FS, HE-PR-0110: FS, ML1005-B01: FS, HE-PI-0530: FS, HC-GN-0050: FS, HE-WS-0090: FS, ML1002: SS","ML1219-B19, HE-PR-1130, HE-PI-0170, HE-PR-0870, HE-PR-0450, HE-PR-0570, HE-PR-1280, HE-PR-1330, HE-PR-1380, HE-PR-1430, HE-PR-1480, HE-PR-1530, HE-PR-1580, ML1012-B06, HE-PR-0250, HE-WS-0210, HE-HS-0970, HE-PI-0150, HE-HS-0670, HE-WS-0050, HE-HS-0490, HE-P","ML1219-B19: FF, HE-PR-1130: FS, HE-PI-0170: FS, HE-PR-0870: FS, HE-PR-0450: FS, HE-PR-0570: FS, HE-PR-1280: FS, HE-PR-1330: FS, HE-PR-1380: FS, HE-PR-1430: FS, HE-PR-1480: FS, HE-PR-1530: FS, HE-PR-1580: FS, ML1012-B06: FS, HE-PR-0250: FS, HE-WS-0210: FS,",2023-10-09 00:00:00,2023-10-10 00:00:00,,"P2543-R01-Oct24..1.EN.7.24.11 Overall Plot Plan - 56"" Pipeline Launcher and metering Station (Habshan Complex)",P2543-R01-Oct24..1.PM.12 Workshops,"Issue ICR- Overall Plot Plan- 56"" Pipeline Launcher and metering Station (Habshan Complex)",Design Review Workshop,HE-PI-0320,HE-WS-0030,FS,Completed,Completed,0,,0,2,11,22
HE-WS-0030,Design Review Workshop,1,0,2023-10-09,2023-10-10,09-Oct-23 A,10-Oct-23 A,,HE-WS-0030,Completed,P2543-R01-Oct24..1.PM.12,Design Review Workshop,"HC-GN-0110, ML1002-A02, HE-PI-0320, HE-PI-0390, HE-PI-0460, HE-PR-0110, ML1005-B01, HE-PI-0530, HC-GN-0050, HE-WS-0090, ML1002","HC-GN-0110: FS, ML1002-A02: FS, HE-PI-0320: FS, HE-PI-0390: FS, HE-PI-0460: FS, HE-PR-0110: FS, ML1005-B01: FS, HE-PI-0530: FS, HC-GN-0050: FS, HE-WS-0090: FS, ML1002: SS","ML1219-B19, HE-PR-1130, HE-PI-0170, HE-PR-0870, HE-PR-0450, HE-PR-0570, HE-PR-1280, HE-PR-1330, HE-PR-1380, HE-PR-1430, HE-PR-1480, HE-PR-1530, HE-PR-1580, ML1012-B06, HE-PR-0250, HE-WS-0210, HE-HS-0970, HE-PI-0150, HE-HS-0670, HE-WS-0050, HE-HS-0490, HE-P","ML1219-B19: FF, HE-PR-1130: FS, HE-PI-0170: FS, HE-PR-0870: FS, HE-PR-0450: FS, HE-PR-0570: FS, HE-PR-1280: FS, HE-PR-1330: FS, HE-PR-1380: FS, HE-PR-1430: FS, HE-PR-1480: FS, HE-PR-1530: FS, HE-PR-1580: FS, ML1012-B06: FS, HE-PR-0250: FS, HE-WS-0210: FS,",2023-10-09 00:00:00,2023-10-10 00:00:00,,"P2543-R01-Oct24..1.EN.7.24.13 Overall Plot Plan - 52"" Pipeline SWEIHAN CRS",P2543-R01-Oct24..1.PM.12 Workshops,"Issue ICR- Overall Plot Plan-52"" Pipeline SWEIHAN CRS",Design Review Workshop,HE-PI-0390,HE-WS-0030,FS,Completed,Completed,0,,0,2,11,22
HE-WS-0030,Design Review Workshop,1,0,2023-10-09,2023-10-10,09-Oct-23 A,10-Oct-23 A,,HE-WS-0030,Completed,P2543-R01-Oct24..1.PM.12,Design Review Workshop,"HC-GN-0110, ML1002-A02, HE-PI-0320, HE-PI-0390, HE-PI-0460, HE-PR-0110, ML1005-B01, HE-PI-0530, HC-GN-0050, HE-WS-0090, ML1002","HC-GN-0110: FS, ML1002-A02: FS, HE-PI-0320: FS, HE-PI-0390: FS, HE-PI-0460: FS, HE-PR-0110: FS, ML1005-B01: FS, HE-PI-0530: FS, HC-GN-0050: FS, HE-WS-0090: FS, ML1002: SS","ML1219-B19, HE-PR-1130, HE-PI-0170, HE-PR-0870, HE-PR-0450, HE-PR-0570, HE-PR-1280, HE-PR-1330, HE-PR-1380, HE-PR-1430, HE-PR-1480, HE-PR-1530, HE-PR-1580, ML1012-B06, HE-PR-0250, HE-WS-0210, HE-HS-0970, HE-PI-0150, HE-HS-0670, HE-WS-0050, HE-HS-0490, HE-P","ML1219-B19: FF, HE-PR-1130: FS, HE-PI-0170: FS, HE-PR-0870: FS, HE-PR-0450: FS, HE-PR-0570: FS, HE-PR-1280: FS, HE-PR-1330: FS, HE-PR-1380: FS, HE-PR-1430: FS, HE-PR-1480: FS, HE-PR-1530: FS, HE-PR-1580: FS, ML1012-B06: FS, HE-PR-0250: FS, HE-WS-0210: FS,",2023-10-09 00:00:00,2023-10-10 00:00:00,,"P2543-R01-Oct24..1.EN.7.24.14 Overall Plot Plan - 4"" N2 Source Pipeline",P2543-R01-Oct24..1.PM.12 Workshops,"Issue ICR- Overall Plot Plan - 4"" N2 Source Pipeline",Design Review Workshop,HE-PI-0460,HE-WS-0030,FS,Completed,Completed,0,,0,2,11,22
HE-WS-0030,Design Review Workshop,1,0,2023-10-09,2023-10-10,09-Oct-23 A,10-Oct-23 A,,HE-WS-0030,Completed,P2543-R01-Oct24..1.PM.12,Design Review Workshop,"HC-GN-0110, ML1002-A02, HE-PI-0320, HE-PI-0390, HE-PI-0460, HE-PR-0110, ML1005-B01, HE-PI-0530, HC-GN-0050, HE-WS-0090, ML1002","HC-GN-0110: FS, ML1002-A02: FS, HE-PI-0320: FS, HE-PI-0390: FS, HE-PI-0460: FS, HE-PR-0110: FS, ML1005-B01: FS, HE-PI-0530: FS, HC-GN-0050: FS, HE-WS-0090: FS, ML1002: SS","ML1219-B19, HE-PR-1130, HE-PI-0170, HE-PR-0870, HE-PR-0450, HE-PR-0570, HE-PR-1280, HE-PR-1330, HE-PR-1380, HE-PR-1430, HE-PR-1480, HE-PR-1530, HE-PR-1580, ML1012-B06, HE-PR-0250, HE-WS-0210, HE-HS-0970, HE-PI-0150, HE-HS-0670, HE-WS-0050, HE-HS-0490, HE-P","ML1219-B19: FF, HE-PR-1130: FS, HE-PI-0170: FS, HE-PR-0870: FS, HE-PR-0450: FS, HE-PR-0570: FS, HE-PR-1280: FS, HE-PR-1330: FS, HE-PR-1380: FS, HE-PR-1430: FS, HE-PR-1480: FS, HE-PR-1530: FS, HE-PR-1580: FS, ML1012-B06: FS, HE-PR-0250: FS, HE-WS-0210: FS,",2023-10-09 00:00:00,2023-10-10 00:00:00,,P2543-R01-Oct24..1.EN.3.11 P&ID's (New),P2543-R01-Oct24..1.PM.12 Workshops,Issue ICR- P&ID's,Design Review Workshop,HE-PR-0110,HE-WS-0030,FS,Completed,Completed,0,,0,2,11,22
HE-WS-0030,Design Review Workshop,1,0,2023-10-09,2023-10-10,09-Oct-23 A,10-Oct-23 A,,HE-WS-0030,Completed,P2543-R01-Oct24..1.PM.12,Design Review Workshop,"HC-GN-0110, ML1002-A02, HE-PI-0320, HE-PI-0390, HE-PI-0460, HE-PR-0110, ML1005-B01, HE-PI-0530, HC-GN-0050, HE-WS-0090, ML1002","HC-GN-0110: FS, ML1002-A02: FS, HE-PI-0320: FS, HE-PI-0390: FS, HE-PI-0460: FS, HE-PR-0110: FS, ML1005-B01: FS, HE-PI-0530: FS, HC-GN-0050: FS, HE-WS-0090: FS, ML1002: SS","ML1219-B19, HE-PR-1130, HE-PI-0170, HE-PR-0870, HE-PR-0450, HE-PR-0570, HE-PR-1280, HE-PR-1330, HE-PR-1380, HE-PR-1430, HE-PR-1480, HE-PR-1530, HE-PR-1580, ML1012-B06, HE-PR-0250, HE-WS-0210, HE-HS-0970, HE-PI-0150, HE-HS-0670, HE-WS-0050, HE-HS-0490, HE-P","ML1219-B19: FF, HE-PR-1130: FS, HE-PI-0170: FS, HE-PR-0870: FS, HE-PR-0450: FS, HE-PR-0570: FS, HE-PR-1280: FS, HE-PR-1330: FS, HE-PR-1380: FS, HE-PR-1430: FS, HE-PR-1480: FS, HE-PR-1530: FS, HE-PR-1580: FS, ML1012-B06: FS, HE-PR-0250: FS, HE-WS-0210: FS,",2023-10-09 00:00:00,2023-10-10 00:00:00,,P2543-R01-Oct24..ML.EN Detail Engineering,P2543-R01-Oct24..1.PM.12 Workshops,Prepare Design Basis for all Engineering Disciplines and Issue to COMPANY - Final Issue,Design Review Workshop,ML1005-B01,HE-WS-0030,FS,Completed,Completed,0,,0,2,11,22
HE-WS-0030,Design Review Workshop,1,0,2023-10-09,2023-10-10,09-Oct-23 A,10-Oct-23 A,,HE-WS-0030,Completed,P2543-R01-Oct24..1.PM.12,Design Review Workshop,"HC-GN-0110, ML1002-A02, HE-PI-0320, HE-PI-0390, HE-PI-0460, HE-PR-0110, ML1005-B01, HE-PI-0530, HC-GN-0050, HE-WS-0090, ML1002","HC-GN-0110: FS, ML1002-A02: FS, HE-PI-0320: FS, HE-PI-0390: FS, HE-PI-0460: FS, HE-PR-0110: FS, ML1005-B01: FS, HE-PI-0530: FS, HC-GN-0050: FS, HE-WS-0090: FS, ML1002: SS","ML1219-B19, HE-PR-1130, HE-PI-0170, HE-PR-0870, HE-PR-0450, HE-PR-0570, HE-PR-1280, HE-PR-1330, HE-PR-1380, HE-PR-1430, HE-PR-1480, HE-PR-1530, HE-PR-1580, ML1012-B06, HE-PR-0250, HE-WS-0210, HE-HS-0970, HE-PI-0150, HE-HS-0670, HE-WS-0050, HE-HS-0490, HE-P","ML1219-B19: FF, HE-PR-1130: FS, HE-PI-0170: FS, HE-PR-0870: FS, HE-PR-0450: FS, HE-PR-0570: FS, HE-PR-1280: FS, HE-PR-1330: FS, HE-PR-1380: FS, HE-PR-1430: FS, HE-PR-1480: FS, HE-PR-1530: FS, HE-PR-1580: FS, ML1012-B06: FS, HE-PR-0250: FS, HE-WS-0210: FS,",2023-10-09 00:00:00,2023-10-10 00:00:00,,P2543-R01-Oct24..1.EN.7.24.22 Plot Plan - Block Valve Station (7 nos),P2543-R01-Oct24..1.PM.12 Workshops,Issue ICR- Plot plan - BVS,Design Review Workshop,HE-PI-0530,HE-WS-0030,FS,Completed,Completed,0,,0,2,11,22
HE-WS-0030,Design Review Workshop,1,0,2023-10-09,2023-10-10,09-Oct-23 A,10-Oct-23 A,,HE-WS-0030,Completed,P2543-R01-Oct24..1.PM.12,Design Review Workshop,"HC-GN-0110, ML1002-A02, HE-PI-0320, HE-PI-0390, HE-PI-0460, HE-PR-0110, ML1005-B01, HE-PI-0530, HC-GN-0050, HE-WS-0090, ML1002","HC-GN-0110: FS, ML1002-A02: FS, HE-PI-0320: FS, HE-PI-0390: FS, HE-PI-0460: FS, HE-PR-0110: FS, ML1005-B01: FS, HE-PI-0530: FS, HC-GN-0050: FS, HE-WS-0090: FS, ML1002: SS","ML1219-B19, HE-PR-1130, HE-PI-0170, HE-PR-0870, HE-PR-0450, HE-PR-0570, HE-PR-1280, HE-PR-1330, HE-PR-1380, HE-PR-1430, HE-PR-1480, HE-PR-1530, HE-PR-1580, ML1012-B06, HE-PR-0250, HE-WS-0210, HE-HS-0970, HE-PI-0150, HE-HS-0670, HE-WS-0050, HE-HS-0490, HE-P","ML1219-B19: FF, HE-PR-1130: FS, HE-PI-0170: FS, HE-PR-0870: FS, HE-PR-0450: FS, HE-PR-0570: FS, HE-PR-1280: FS, HE-PR-1330: FS, HE-PR-1380: FS, HE-PR-1430: FS, HE-PR-1480: FS, HE-PR-1530: FS, HE-PR-1580: FS, ML1012-B06: FS, HE-PR-0250: FS, HE-WS-0210: FS,",2023-10-09 00:00:00,2023-10-10 00:00:00,,P2543-R01-Oct24..1.PM.2 Planning Package,P2543-R01-Oct24..1.PM.12 Workshops,Final Issue for Design/ Construction-Planning Package,Design Review Workshop,HC-GN-0050,HE-WS-0030,FS,Completed,Completed,0,,0,2,11,22
HE-WS-0030,Design Review Workshop,1,0,2023-10-09,2023-10-10,09-Oct-23 A,10-Oct-23 A,,HE-WS-0030,Completed,P2543-R01-Oct24..1.PM.12,Design Review Workshop,"HC-GN-0110, ML1002-A02, HE-PI-0320, HE-PI-0390, HE-PI-0460, HE-PR-0110, ML1005-B01, HE-PI-0530, HC-GN-0050, HE-WS-0090, ML1002","HC-GN-0110: FS, ML1002-A02: FS, HE-PI-0320: FS, HE-PI-0390: FS, HE-PI-0460: FS, HE-PR-0110: FS, ML1005-B01: FS, HE-PI-0530: FS, HC-GN-0050: FS, HE-WS-0090: FS, ML1002: SS","ML1219-B19, HE-PR-1130, HE-PI-0170, HE-PR-0870, HE-PR-0450, HE-PR-0570, HE-PR-1280, HE-PR-1330, HE-PR-1380, HE-PR-1430, HE-PR-1480, HE-PR-1530, HE-PR-1580, ML1012-B06, HE-PR-0250, HE-WS-0210, HE-HS-0970, HE-PI-0150, HE-HS-0670, HE-WS-0050, HE-HS-0490, HE-P","ML1219-B19: FF, HE-PR-1130: FS, HE-PI-0170: FS, HE-PR-0870: FS, HE-PR-0450: FS, HE-PR-0570: FS, HE-PR-1280: FS, HE-PR-1330: FS, HE-PR-1380: FS, HE-PR-1430: FS, HE-PR-1480: FS, HE-PR-1530: FS, HE-PR-1580: FS, ML1012-B06: FS, HE-PR-0250: FS, HE-WS-0210: FS,",2023-10-09 00:00:00,2023-10-10 00:00:00,,P2543-R01-Oct24..1.PM.12 Workshops,P2543-R01-Oct24..1.PM.12 Workshops,Plot Plan Layout Review Workshop,Design Review Workshop,HE-WS-0090,HE-WS-0030,FS,Completed,Completed,0,,0,2,11,22
