Activity ID,Activity Name,Original Duration,wbs_id,pred_list,pred_details,succ_list,succ_details,start_date,end_date,Duration
HE-WS-0030,Design Review Workshop,1,P2543-R01-Oct24..1.PM.12,"HC-GN-0110, ML1002-A02, HE-PI-0320, HE-PI-0390, HE-PI-0460, HE-PR-0110, ML1005-B01, HE-PI-0530, HC-GN-0050, HE-WS-0090, ML1002","HC-GN-0110: FS, ML1002-A02: FS, HE-PI-0320: FS, HE-PI-0390: FS, HE-PI-0460: FS, HE-PR-0110: FS, ML1005-B01: FS, HE-PI-0530: FS, HC-GN-0050: FS, HE-WS-0090: FS, ML1002: SS","ML1219-B19, HE-PR-1130, HE-PI-0170, HE-PR-0870, HE-PR-0450, HE-PR-0570, HE-PR-1280, HE-PR-1330, HE-PR-1380, HE-PR-1430, HE-PR-1480, HE-PR-1530, HE-PR-1580, ML1012-B06, HE-PR-0250, HE-WS-0210, HE-HS-0970, HE-PI-0150, HE-HS-0670, HE-WS-0050, HE-HS-0490, HE-P","ML1219-B19: FF, HE-PR-1130: FS, HE-PI-0170: FS, HE-PR-0870: FS, HE-PR-0450: FS, HE-PR-0570: FS, HE-PR-1280: FS, HE-PR-1330: FS, HE-PR-1380: FS, HE-PR-1430: FS, HE-PR-1480: FS, HE-PR-1530: FS, HE-PR-1580: FS, ML1012-B06: FS, HE-PR-0250: FS, HE-WS-0210: FS,",2023-10-09 00:00:00,2023-10-10 00:00:00,1
HE-WS-0090,Plot Plan Layout Review Workshop,1,P2543-R01-Oct24..1.PM.12,"HE-PI-0320, HE-PI-0390, HE-PI-0460, HE-PI-0530","HE-PI-0320: FS, HE-PI-0390: FS, HE-PI-0460: FS, HE-PI-0530: FS","HE-EL-0490, HE-WS-0030","HE-EL-0490: FS, HE-WS-0030: FS",2023-10-24 00:00:00,2023-10-25 00:00:00,1
HE-WS-0020,HAZID /ENVID/OHID/ PHSER Workshop,2,P2543-R01-Oct24..1.PM.12,"HS-GN-0110, HE-PI-0470, HE-DB-0020, HE-PI-0330, HE-HS-0140, HE-PR-0050, HE-HS-0130, HE-PI-0540, HE-PI-0400, HE-HS-0080, HE-PR-1250","HS-GN-0110: FS, HE-PI-0470: FS, HE-DB-0020: FS, HE-PI-0330: FS, HE-HS-0140: FS, HE-PR-0050: FS, HE-HS-0130: FS, HE-PI-0540: FS, HE-PI-0400: FS, HE-HS-0080: FS, HE-PR-1250: FS","HE-HS-0970, HE-HS-0670, HE-WS-0050, HE-HS-0490, HE-PI-0130, C-COM-790, CAB-5290, HE-HS-0550, HE-PI-0150","HE-HS-0970: FS, HE-HS-0670: FS, HE-WS-0050: FS, HE-HS-0490: FS, HE-PI-0130: FS, C-COM-790: FS, CAB-5290: FS, HE-HS-0550: FS, HE-PI-0150: FS",2023-10-31 00:00:00,2023-11-02 00:00:00,2
HE-WS-0210,HAZOP Workshop,2,P2543-R01-Oct24..1.PM.12,"HE-PR-0040, HE-PR-1240, HE-PR-1250, HE-PR-0060, HE-WS-0030, HE-PR-0130, HE-HS-0230","HE-PR-0040: FS, HE-PR-1240: FS, HE-PR-1250: FS, HE-PR-0060: FS, HE-WS-0030: FS, HE-PR-0130: FS 5, HE-HS-0230: FS","ML2059-B05, HE-WS-0310, HE-HS-0490, HE-HS-0670","ML2059-B05: FF, HE-WS-0310: FS, HE-HS-0490: FS, HE-HS-0670: FS",2023-11-21 00:00:00,2023-11-23 00:00:00,2
HE-WS-0190,Bow Tie Workshop,1,P2543-R01-Oct24..1.PM.12,HE-WS-0310,HE-WS-0310: FS 2,"HE-HS-0490, HE-WS-0200","HE-HS-0490: FS, HE-WS-0200: FS",2023-11-23 00:00:00,2023-11-24 00:00:00,1
HE-WS-0200,ALARP Workshop,1,P2543-R01-Oct24..1.PM.12,"HE-WS-0190, HE-RR-0050","HE-WS-0190: FS, HE-RR-0050: FS","HE-HS-0490, HE-WS-0170","HE-HS-0490: FF, HE-WS-0170: FS 30",2023-11-23 00:00:00,2023-11-24 00:00:00,1
HE-WS-0310,CRAS Workshop,1,P2543-R01-Oct24..1.PM.12,"HE-WS-0210, HE-CP-0030, HE-CP-220","HE-WS-0210: FS, HE-CP-0030: FS, HE-CP-220: FS",HE-WS-0190,HE-WS-0190: FS 2,2023-11-23 00:00:00,2023-11-24 00:00:00,1
HE-WS-0050,Constructability Review Workshop,2,P2543-R01-Oct24..1.PM.12,"HE-PR-0040, HE-PR-1240, HE-PR-1250, HE-PR-0060, HE-PR-0130, HE-HS-0190, HE-WS-0020, HE-WS-0030, HS-GN-0110, HE-PR-0850, HE-PI-0320, HE-WS-0010, HE-HS-0070, HE-PI-0390, HE-PI-0530, HE-HS-0010, HE-PI-0460","HE-PR-0040: FS, HE-PR-1240: FS, HE-PR-1250: FS, HE-PR-0060: FS, HE-PR-0130: FS, HE-HS-0190: FS, HE-WS-0020: FS, HE-WS-0030: FS, HS-GN-0110: FS, HE-PR-0850: FS, HE-PI-0320: FS, HE-WS-0010: FS, HE-HS-0070: FS, HE-PI-0390: FS, HE-PI-0530: FS, HE-HS-0010: FS,","HE-HS-0510, HE-ST-0010, C-COM-790, CAB-5290","HE-HS-0510: FS, HE-ST-0010: FS, C-COM-790: FS, CAB-5290: FS",2024-05-14 00:00:00,2024-05-16 00:00:00,2
HC-GN-300,Issue ICR-Smart Plant,124,P2543-R01-Oct24..1.PM.1,ML1002,ML1002: SS 30,HC-GN-310,HC-GN-310: FS,2023-08-18 00:00:00,2024-02-09 17:30:00,175
HC-GN-310,Receive Company Comments-Smart Plant,113,P2543-R01-Oct24..1.PM.1,HC-GN-300,HC-GN-300: FS,HC-GN-320,HC-GN-320: FS,2023-09-18 07:30:00,2024-02-23 17:30:00,158
HC-GN-320,Re-Issue for Approval-Smart Plant,84,P2543-R01-Oct24..1.PM.1,HC-GN-310,HC-GN-310: FS,HC-GN-330,HC-GN-330: FS,2023-11-10 07:30:00,2024-03-08 17:30:00,119
HC-GN-330,Obtain Company Approval-Smart Plant,85,P2543-R01-Oct24..1.PM.1,HC-GN-320,HC-GN-320: FS,HC-GN-290,HC-GN-290: FS,2023-11-22 07:30:00,2024-03-22 17:30:00,121
HC-GN-290,Final Issue for Design/ Construction-Smart Plant,85,P2543-R01-Oct24..1.PM.1,HC-GN-330,HC-GN-330: FS,CAB-5290,CAB-5290: FS,2023-12-15 07:30:00,2024-04-22 17:30:00,129
HC-GN-0190,Issue ICR-QAQC procedure,53,P2543-R01-Oct24..1.PM.6,HC-GN-0010,HC-GN-0010: FS,HC-GN-0200,HC-GN-0200: FS,2023-08-07 00:00:00,2023-10-19 00:00:00,73
HC-GN-0200,Receive Company Comments-QAQC procedure,11,P2543-R01-Oct24..1.PM.6,HC-GN-0190,HC-GN-0190: FS,HC-GN-0210,HC-GN-0210: FS,2023-10-20 00:00:00,2023-11-05 00:00:00,16
HC-GN-0210,Re-Issue for Approval-QAQC procedure,81,P2543-R01-Oct24..1.PM.6,HC-GN-0200,HC-GN-0200: FS,HC-GN-0220,HC-GN-0220: FS,2023-11-07 00:00:00,2024-03-01 00:00:00,115
HC-GN-0220,Obtain Company Approval-QAQC procedure,9,P2543-R01-Oct24..1.PM.6,HC-GN-0210,HC-GN-0210: FS,HC-GN-0230,HC-GN-0230: FS,2024-03-04 00:00:00,2024-03-17 00:00:00,13
HC-GN-0230,Final Issue for Design/ Construction-Quality documents,21,P2543-R01-Oct24..1.PM.6,HC-GN-0220,HC-GN-0220: FS,"ML1001-A01, CAB-5300","ML1001-A01: FS, CAB-5300: FS",2024-03-18 00:00:00,2024-04-24 00:00:00,37
HC-GN-340,Issue ICR-Hot Tap SOW,7,P2543-R01-Oct24..1.PM.7,HE-PL-0430,HE-PL-0430: FS,HC-GN-350,HC-GN-350: FS,2023-11-01 00:00:00,2023-11-10 00:00:00,9
HC-GN-350,Receive Company Comments-Hot Tap SOW,7,P2543-R01-Oct24..1.PM.7,HC-GN-340,HC-GN-340: FS,HC-GN-360,HC-GN-360: FS,2023-11-13 00:00:00,2023-11-22 00:00:00,9
HC-GN-360,Re-Issue for Approval-Hot Tap SOW,74,P2543-R01-Oct24..1.PM.7,HC-GN-350,HC-GN-350: FS,HC-GN-370,HC-GN-370: FS,2023-11-23 00:00:00,2024-03-08 00:00:00,106
HC-GN-370,Obtain Company Approval-Hot Tap SOW,9,P2543-R01-Oct24..1.PM.7,HC-GN-360,HC-GN-360: FS,HC-GN-380,HC-GN-380: FS,2024-03-10 00:00:00,2024-03-25 00:00:00,15
HC-GN-380,Final Issue for Design/ Construction-Hot Tap SOW,2,P2543-R01-Oct24..1.PM.7,HC-GN-370,HC-GN-370: FS,"HE-PL-1370, C-COM-750","HE-PL-1370: FS, C-COM-750: FS",2024-03-26 00:00:00,2024-03-29 00:00:00,3
HE-SS-0010,Data Acquisition,24,P2543-R01-Oct24..1.EN.2,ML1002,ML1002: FS,"HE-SV-0010, HE-SS-0020","HE-SV-0010: FS, HE-SS-0020: SS 10",2023-08-17 00:00:00,2023-09-20 00:00:00,34
HE-SS-0020,Site Visit,27,P2543-R01-Oct24..1.EN.2,"ML1002, HE-SS-0010","ML1002: FS, HE-SS-0010: SS 10","HE-PL-0130, HE-PL-0190, HE-SV-0010, HE-WS-0010","HE-PL-0130: FS 20, HE-PL-0190: FS 20, HE-SV-0010: FS, HE-WS-0010: FS 15",2023-08-22 00:00:00,2023-09-28 00:00:00,37
HE-SS-0040,Geo Technical Survey,46,P2543-R01-Oct24..1.EN.2,"ML1007-B02, HS-GN-0170","ML1007-B02: FS, HS-GN-0170: FS","HE-GS-0010, HE-GS-90, HE-GS-140, HE-GS-190","HE-GS-0010: FS, HE-GS-90: FS, HE-GS-140: FS, HE-GS-190: FS",2023-11-15 00:00:00,2024-01-22 00:00:00,68
HE-SS-0030,Topographical Survey,112,P2543-R01-Oct24..1.EN.2,"HS-GN-0170, ML1007-B02","HS-GN-0170: FS, ML1007-B02: FS","HS-CN-0160, HE-TS-0010, HE-TS-230, HE-TS-280, HE-TS-330, C-56-PL-607-CI-1000, C-56-EB2-CI-1000, C-56-G-HT-CI-1000, C-56-HC01-PL-CI-2400, C-56-PR-838-CI-1000, C-56-591-01-CI-1000, C-52-HG01-PL-CI-2400, C-52-598-06-CI-1000, C-52-598-05-CI-1000, C-52-598-04-C","HS-CN-0160: SS, HE-TS-0010: FS, HE-TS-230: FS, HE-TS-280: FS, HE-TS-330: FS, C-56-PL-607-CI-1000: SS, C-56-EB2-CI-1000: SS, C-56-G-HT-CI-1000: SS, C-56-HC01-PL-CI-2400: SS, C-56-PR-838-CI-1000: SS, C-56-591-01-CI-1000: SS, C-52-HG01-PL-CI-2400: SS, C-52-59",2023-09-15 00:00:00,2024-02-22 00:00:00,160
HE-SV-0010,Issue ICR - Site Visit /Survey Report,29,P2543-R01-Oct24..1.EN.2.1,"HE-SS-0010, HE-SS-0020","HE-SS-0010: FS, HE-SS-0020: FS",HE-SV-0020,HE-SV-0020: FF 10,2023-11-10 00:00:00,2023-12-21 17:30:00,41
HE-SV-0020,Receive Company Comments- - Site Visit /Survey Report,62,P2543-R01-Oct24..1.EN.2.1,HE-SV-0010,HE-SV-0010: FF 10,HE-SV-0030,HE-SV-0030: FF 10,2023-11-13 00:00:00,2024-02-08 17:30:00,87
HE-SV-0030,Re-Issue for Approval - Site Visit /Survey Report,13,P2543-R01-Oct24..1.EN.2.1,HE-SV-0020,HE-SV-0020: FF 10,HE-SV-0040,HE-SV-0040: FF 10,2024-05-31 07:30:00,2024-06-21 17:30:00,21
HE-SV-0040,Obtain Company Approval - Site Visit /Survey Report,43,P2543-R01-Oct24..1.EN.2.1,HE-SV-0030,HE-SV-0030: FF 10,HE-SV-0050,HE-SV-0050: FF 10,2024-06-22 07:30:00,2024-08-22 17:30:00,61
HE-RR-0010,Issue ICR- Project Risk review register,1,P2543-R01-Oct24..1.EN.2.6,HE-WS-0010,HE-WS-0010: FS,HE-RR-0020,HE-RR-0020: FS,2023-09-27 00:00:00,2023-09-28 00:00:00,1
HE-RR-0020,Receive Company Comments-Project Risk review register,2,P2543-R01-Oct24..1.EN.2.6,HE-RR-0010,HE-RR-0010: FS,HE-RR-0030,HE-RR-0030: FS,2023-09-29 00:00:00,2023-10-03 00:00:00,4
HE-RR-0030,Re-Issue for Approval-Project Risk review register,11,P2543-R01-Oct24..1.EN.2.6,HE-RR-0020,HE-RR-0020: FS,HE-RR-0040,HE-RR-0040: FS,2023-10-04 00:00:00,2023-10-19 00:00:00,15
HE-RR-0040,Obtain Company Approval-Project Risk review register,7,P2543-R01-Oct24..1.EN.2.6,HE-RR-0030,HE-RR-0030: FS,HE-RR-0050,HE-RR-0050: FS,2023-10-20 00:00:00,2023-10-31 00:00:00,11
HE-RR-0050,Final Issue for Design/ Construction-Project Risk Review Register,9,P2543-R01-Oct24..1.EN.2.6,HE-RR-0040,HE-RR-0040: FS,"C-COM-750, ML1219-B29, CAB-5290, HE-WS-0200","C-COM-750: FS, ML1219-B29: FF, CAB-5290: FS, HE-WS-0200: FS",2023-11-02 00:00:00,2023-11-15 00:00:00,13
HE-TS-0010,Issue ICR-Topographical Survey Report (Overall),23,P2543-R01-Oct24..1.EN.2.2,HE-SS-0030,HE-SS-0030: FS,"HE-PL-3580, HE-PL-3530, HE-PL-0250, HE-PL-0190, HE-PL-0130, HE-CS-0430, HE-PI-0350, HE-PI-0560, HE-PL-2750, HE-PI-0420, HE-CS-0490, HE-PL-2570, HE-PL-0210, HE-PL-2690, HE-PL-2450, HE-PI-0490, HE-PL-0270, HE-PL-2630, HE-PL-2510, HE-PL-0150, HE-PL-2390, HE-T","HE-PL-3580: FS, HE-PL-3530: FS 60, HE-PL-0250: FS, HE-PL-0190: FS, HE-PL-0130: FS, HE-CS-0430: FS, HE-PI-0350: FS, HE-PI-0560: FS, HE-PL-2750: FS, HE-PI-0420: FS, HE-CS-0490: FS, HE-PL-2570: FS, HE-PL-0210: FS, HE-PL-2690: FS, HE-PL-2450: FS 15, HE-PI-0490",2024-01-29 00:00:00,2024-02-29 00:00:00,31
HE-TS-0020,Receive Company Comments-Topographical Survey Report (Overall),4,P2543-R01-Oct24..1.EN.2.2,HE-TS-0010,HE-TS-0010: FS,HE-TS-0030,HE-TS-0030: FS,2024-03-01 00:00:00,2024-03-07 00:00:00,6
HE-TS-0030,Re-Issue for Approval-Topographical Survey Report (Overall),54,P2543-R01-Oct24..1.EN.2.2,HE-TS-0020,HE-TS-0020: FS,HE-TS-0040,HE-TS-0040: FS,2024-03-08 00:00:00,2024-05-31 00:00:00,84
HE-TS-0040,Obtain Company Approval-Topographical Survey Report (Overall),36,P2543-R01-Oct24..1.EN.2.2,HE-TS-0030,HE-TS-0030: FS,HE-TS-0050,HE-TS-0050: FS,2024-06-03 00:00:00,2024-07-26 17:30:00,53
HE-TS-0050,Final Issue for Design/ Construction-Topographical Survey Report (Overall),24,P2543-R01-Oct24..1.EN.2.2,HE-TS-0040,HE-TS-0040: FS,"HE-PL-2790, HE-PL-2670, ML1009-B04, ML1008-B03, HE-PI-0440, HE-PL-2610, CAB-4420, HE-CS-0530, HE-PI-0580, HE-PI-0370, HE-PI-0510","HE-PL-2790: FS, HE-PL-2670: FS, ML1009-B04: FS, ML1008-B03: FS, HE-PI-0440: FS, HE-PL-2610: FS, CAB-4420: FS, HE-CS-0530: FS, HE-PI-0580: FS, HE-PI-0370: FS, HE-PI-0510: FS",2024-07-29 07:30:00,2024-08-30 00:00:00,31
HE-TS-280,"Issue ICR-Topographical Survey Report 52"" Line",9,P2543-R01-Oct24..1.EN.2.2.1,HE-SS-0030,HE-SS-0030: FS,"HE-PL-0190, HE-PL-0210, HE-PL-2450, HE-PL-2630, HE-TS-290, HE-TS-230","HE-PL-0190: FS, HE-PL-0210: FS, HE-PL-2450: FS 15, HE-PL-2630: FS, HE-TS-290: FS, HE-TS-230: FS",2024-02-26 00:00:00,2024-03-08 00:00:00,11
HE-TS-290,"Receive Company Comments-Topographical Survey Report 52"" Line",4,P2543-R01-Oct24..1.EN.2.2.1,HE-TS-280,HE-TS-280: FS,HE-TS-250,HE-TS-250: FS,2024-03-10 00:00:00,2024-03-17 00:00:00,7
HE-TS-250,"Re-Issue for Approval-Topographical Survey Report 52"" Line",49,P2543-R01-Oct24..1.EN.2.2.1,HE-TS-290,HE-TS-290: FS,HE-TS-260,HE-TS-260: FF,2024-03-18 00:00:00,2024-05-31 17:30:00,74
HE-TS-260,"Obtain Company Approval-Topographical Survey Report 52"" Line",72,P2543-R01-Oct24..1.EN.2.2.1,HE-TS-250,HE-TS-250: FF,HE-TS-270,HE-TS-270: FF,2024-04-12 00:00:00,2024-07-26 17:30:00,105
HE-TS-270,"Final Issue for Design/ Construction-Topographical Survey Report 52"" Line",92,P2543-R01-Oct24..1.EN.2.2.1,HE-TS-260,HE-TS-260: FF,"HE-PL-2670, ML1009-B04, HE-PI-0440","HE-PL-2670: FS, ML1009-B04: FS, HE-PI-0440: FS",2024-04-19 00:00:00,2024-08-30 17:30:00,133
HE-TS-230,"Issue ICR-Topographical Survey Report 56"" Line",4,P2543-R01-Oct24..1.EN.2.2.5,"HE-SS-0030, HE-TS-280","HE-SS-0030: FS, HE-TS-280: FS","HE-PL-0130, HE-PI-0350, HE-PL-2570, HE-PL-0150, HE-PL-2390, HE-TS-240, HE-PI-0340, HE-TS-330","HE-PL-0130: FS, HE-PI-0350: FS, HE-PL-2570: FS, HE-PL-0150: FS, HE-PL-2390: FS 10, HE-TS-240: FS, HE-PI-0340: FS, HE-TS-330: FS",2024-03-04 00:00:00,2024-03-08 00:00:00,4
HE-TS-240,"Receive Company Comments-Topographical Survey Report 56"" Line",4,P2543-R01-Oct24..1.EN.2.2.5,HE-TS-230,HE-TS-230: FS,HE-TS-200,HE-TS-200: FS,2024-03-10 00:00:00,2024-03-17 00:00:00,7
HE-TS-200,"Re-Issue for Approval-Topographical Survey Report 56"" Line",49,P2543-R01-Oct24..1.EN.2.2.5,HE-TS-240,HE-TS-240: FS,HE-TS-210,HE-TS-210: FS,2024-03-18 00:00:00,2024-05-31 17:30:00,74
HE-TS-210,"Obtain Company Approval-Topographical Survey Report 56"" Line",36,P2543-R01-Oct24..1.EN.2.2.5,HE-TS-200,HE-TS-200: FS,HE-TS-220,HE-TS-220: FS,2024-06-03 07:30:00,2024-07-26 17:30:00,53
HE-TS-220,"Final Issue for Design/ Construction-Topographical Survey Report 56"" Line",25,P2543-R01-Oct24..1.EN.2.2.5,HE-TS-210,HE-TS-210: FS,"ML1008-B03, HE-PL-2610, HE-PI-0370","ML1008-B03: FS, HE-PL-2610: FS, HE-PI-0370: FS",2024-07-29 07:30:00,2024-08-30 17:30:00,32
HE-TS-330,"Issue ICR-Topographical Survey Report 4"" Line",4,P2543-R01-Oct24..1.EN.2.2.3,"HE-SS-0030, HE-TS-230","HE-SS-0030: FS, HE-TS-230: FS","HE-PL-3580, HE-PL-3530, HE-PL-0250, HE-PL-2690, HE-PI-0490, HE-PL-0270, HE-PL-2510, HE-TS-340","HE-PL-3580: FS, HE-PL-3530: FS 60, HE-PL-0250: FS, HE-PL-2690: FS, HE-PI-0490: FS, HE-PL-0270: FS, HE-PL-2510: FS 30, HE-TS-340: FS",2024-03-04 00:00:00,2024-03-08 00:00:00,4
HE-TS-340,"Receive Company Comments-Topographical Survey Report 4"" Line",4,P2543-R01-Oct24..1.EN.2.2.3,HE-TS-330,HE-TS-330: FS,HE-TS-300,HE-TS-300: FS,2024-03-10 00:00:00,2024-03-17 00:00:00,7
HE-TS-310,"Obtain Company Approval-Topographical Survey Report 4"" Line",2,P2543-R01-Oct24..1.EN.2.2.3,HE-TS-300,HE-TS-300: SS,HE-TS-320,HE-TS-320: FS,2024-05-10 00:00:00,2024-05-14 00:00:00,4
HE-TS-320,"Final Issue for Design/ Construction-Topographical Survey Report 4"" Line",5,P2543-R01-Oct24..1.EN.2.2.3,HE-TS-310,HE-TS-310: FS,"HE-PI-0510, HE-PL-2550, HE-PL-3570","HE-PI-0510: FS, HE-PL-2550: FS, HE-PL-3570: FS",2024-05-20 00:00:00,2024-05-26 00:00:00,6
HE-TS-300,"Re-Issue for Approval-Topographical Survey Report 4"" Line",110,P2543-R01-Oct24..1.EN.2.2.3,HE-TS-340,HE-TS-340: FS,HE-TS-310,HE-TS-310: SS,2024-03-18 00:00:00,2024-08-30 17:30:00,165
HE-GS-0010,Issue ICR - Geo Technical Survey Report (Overall),4,P2543-R01-Oct24..1.EN.2.3,HE-SS-0040,HE-SS-0040: FS,"HE-PL-3270, HE-PL-0250, HE-PL-0190, HE-PL-0130, HE-CS-0790, HE-CS-0550, HE-CS-1090, HE-CS-0670, HE-GS-0020, HE-PL-0670, HE-PI-0340","HE-PL-3270: FS, HE-PL-0250: FS, HE-PL-0190: FS, HE-PL-0130: FS, HE-CS-0790: FS, HE-CS-0550: FS, HE-CS-1090: FS, HE-CS-0670: FS, HE-GS-0020: FS, HE-PL-0670: FS, HE-PI-0340: FS",2024-02-26 00:00:00,2024-03-01 00:00:00,4
HE-GS-0020,Receive Company Comments - Geo Technical Survey Report (Overall),4,P2543-R01-Oct24..1.EN.2.3,HE-GS-0010,HE-GS-0010: FS,HE-GS-0030,HE-GS-0030: FS,2024-03-04 00:00:00,2024-03-08 00:00:00,4
HE-GS-0030,Re-Issue for Approval - Geo Technical Survey Report (Overall),17,P2543-R01-Oct24..1.EN.2.3,HE-GS-0020,HE-GS-0020: FS,HE-GS-0040,HE-GS-0040: FS,2024-03-10 00:00:00,2024-04-07 00:00:00,28
HE-GS-0040,Obtain Company Approval - Geo Technical Survey Report (Overall),4,P2543-R01-Oct24..1.EN.2.3,HE-GS-0030,HE-GS-0030: FS,HE-GS-0050,HE-GS-0050: FS,2024-04-12 00:00:00,2024-04-18 00:00:00,6
HE-GS-0050,Final Issue for Design/ Construction-Geotechnical Survey Report (Overall),26,P2543-R01-Oct24..1.EN.2.3,HE-GS-0040,HE-GS-0040: FS,"HE-CS-0590, HE-CS-0710, ML1009-B04, CAB-4420, HE-CS-0830, ML1008-B03, HE-CS-1130","HE-CS-0590: FS, HE-CS-0710: FS, ML1009-B04: FS, CAB-4420: FS, HE-CS-0830: FS, ML1008-B03: FS, HE-CS-1130: FS",2024-07-26 07:30:00,2024-08-30 17:30:00,35
HE-GS-90,"Issue ICR - Geo Technical Survey Report 52"" Line",4,P2543-R01-Oct24..1.EN.2.3.3,HE-SS-0040,HE-SS-0040: FS,"HE-PL-0190, HE-GS-50, HE-GS-140","HE-PL-0190: FS, HE-GS-50: FS, HE-GS-140: FS",2024-02-26 00:00:00,2024-03-01 00:00:00,4
HE-GS-50,"Receive Company Comments - Geo Technical Survey Report 52"" Line",4,P2543-R01-Oct24..1.EN.2.3.3,HE-GS-90,HE-GS-90: FS,HE-GS-60,HE-GS-60: FS,2024-03-04 00:00:00,2024-03-08 00:00:00,4
HE-GS-60,"Re-Issue for Approval - Geo Technical Survey Report 52"" Line",54,P2543-R01-Oct24..1.EN.2.3.3,HE-GS-50,HE-GS-50: FS,HE-GS-70,HE-GS-70: FS,2024-03-10 00:00:00,2024-05-31 17:30:00,82
HE-GS-70,"Obtain Company Approval - Geo Technical Survey Report 52"" Line",36,P2543-R01-Oct24..1.EN.2.3.3,HE-GS-60,HE-GS-60: FS,HE-GS-80,HE-GS-80: FS,2024-06-03 07:30:00,2024-07-26 17:30:00,53
HE-GS-80,"Final Issue for Design/ Construction-Geotechnical Survey Report 52"" Line",25,P2543-R01-Oct24..1.EN.2.3.3,HE-GS-70,HE-GS-70: FS,ML1009-B04,ML1009-B04: FS,2024-07-29 07:30:00,2024-08-30 17:30:00,32
HE-GS-140,"Issue ICR - Geo Technical Survey Report 56"" Line",4,P2543-R01-Oct24..1.EN.2.3.1,"HE-SS-0040, HE-GS-90","HE-SS-0040: FS, HE-GS-90: FS","HE-PL-0130, HE-GS-100, HE-PI-0340, HE-GS-190","HE-PL-0130: FS, HE-GS-100: FS, HE-PI-0340: FS, HE-GS-190: FS",2024-03-04 00:00:00,2024-03-08 00:00:00,4
HE-GS-100,"Receive Company Comments - Geo Technical Survey Report 56"" Line",4,P2543-R01-Oct24..1.EN.2.3.1,HE-GS-140,HE-GS-140: FS,HE-GS-110,HE-GS-110: FS,2024-03-10 00:00:00,2024-03-17 00:00:00,7
